"Крошка 1";"Крошка 2";"Крошка 3";Ссылка;Название;Цена;"Ед. изм.";"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";Вес;Габариты;бачок;бензобак;давление;"давление на входе";"давление подачи воздуха";двигатель;диаметр;"диаметр сопла";"диаметр цилиндра";"диапазон давления";длинна;"длинна шланга";"емкость бачка";"емкость бочка";"кол-во скоростей";"макс t";"макс давление";"макс давление краски";"макс давление на выходе";"макс длинна шланга";"макс мощность двигателя";"макс пр-ть насоса";"макс рабочее давление";"макс размер сопла";"макс расстояние";"макс расстояния до пов-ти";"макс расход краски";"макс скорость";"макс сопло";"максимальный расход краски";"масса с бачком";мощность;"мощность двигателя";мощьность;напряжение;"напряжение питания";"номинальная мощьность";объем;"объем бачка";"объем контейнера";"объем рессивера";"объём бачка";"объём ресивера";очистка;"передаточное соотношение";"переход на";"переход с";питание;"подача воздуха";"подача воздуха от компр";"подача воздуха от компрессора";"подача за двоичный ход";производительность;"проходное сечение";"размер сопел";"размер сопла";"размер цилиндра";"расход воздуха";"расход воздх";"резьба на входе воздуха";соединение;сопло;"странд сопло";"угол распыления";"уровень шума";факел;фитинг;"частота вращения";"ширина факела";шланг;Описание
Компрессоры;Малошумные;;https://pro-kraskopult.ru/maloshumnye/porshnevoj-kompressor-remeza-sb4-24-gms150;"Поршневой компрессор Remeza СБ4-24.GMS150";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"8 атм";;;;;;;;;;;;;;;;"1.1 кВт";;;;;;;;"24 л";;;;;;;;;;;;"110 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4-24.GMS150
СБ4-24.GMS150 — воздушный электрический поршневой компрессор на 220 В от зарекомендовавшего себя бренда Remeza. Вы можете оформить заявку на данное устройство в нашем магазине в каталоге pro-kraskopult.ru по оптимальным ценам.
Аппарат обладает следующими важными параметрами:
	• двигатель – электродвигатель;
	• напряжение — 220 В;
	• максимальное давление — 8 атм;
	• мощность двигателя — 1.1 киловатт;
	• привод — прямой;
	• охлаждение — воздушное;
	• страна-производитель — Беларусь.
На нашем сайте можно купить воздушный поршневой компрессор Remeza СБ4-24.GMS150 на 220 В с максимальным давлением 8 атм и с гарантией от официального дилера 12 месяцев.
За профессиональной консультацией обращайтесь по телефону. Специалисты нашей компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-270-lb50-5-5;"Поршневой компрессор Remeza СБ4 Ф 270.LB50-5.5";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"5.5 кВт";;;;;;;;"270 л";;;;;;;;;;;;"880 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 270.LB50-5.5
арт.8096440
СБ4 Ф 270.LB50-5.5 — поршневой воздушный электрокомпрессор на 380 Вольт от зарекомендовавшего себя бренда Remeza. Вы можете оставить заказ на указанное оборудование в нашем магазине на страницах сайта pro-kraskopult.ru по привлекательным ценам.
Аппарат обладает следующими важными характеристиками:
	• тип двигателя – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атмосфер;
	• мощность двигателя — 5.5 киловатт;
	• тип привода — ременной;
	• охлаждение — воздушное;
	• страна — Беларусь.
На нашем сайте вы можете заказать поршневой воздушный компрессор Remeza СБ4 Ф 270.LB50-5.5 на 380 Вольт с максимальным давлением 10 атмосфер и с официальной гарантией 12 мес.
За консультацией обращайтесь по телефону. Специалисты компании ждут вашей заявки.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-270-lb50b;"Поршневой компрессор Remeza СБ4 Ф 270 LB50B";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"4 кВТ";;;;;;;;"270 л";;;;;;;;;;;;"630 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 270 LB50B
арт.21209
СБ4 Ф 270 LB50B — воздушный поршневой электрокомпрессор на 380 В от надежного производителя Remeza. Вы можете купить данное оборудование на pro-kraskopult.ru по привлекательным ценам.
Модель обладает следующими важными техническими характеристиками:
	• двигатель – электрический;
	• напряжение — 380 В;
	• максимальное давление — 10 атм;
	• мощность электродвигателя — 4 кВт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
В магазине компании «PRO-Краскопульт» можно заказать поршневой воздушный компрессор Remeza СБ4 Ф 270 LB50B на 380 В с максимальным давлением 10 атм и с гарантией от официального дилера 12 месяцев.
За помощью с выбором звоните по телефону. Менеджеры нашего магазина ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-270-lb75;"Поршневой компрессор Remeza СБ4 Ф 270.LB75";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"5.5 кВт";;;;;;;;"270 л";;;;;;;;;;;;"950 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 270.LB75
арт.21213
СБ4 Ф 270.LB75 — поршневой воздушный электрокомпрессор на 380 Вольт от надежного бренда Remeza. Вы можете оставить заявку на данное устройство в нашей компании в каталоге pro-kraskopult.ru по привлекательным ценам.
Модель обладает следующими основными параметрами:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атм;
	• мощность электродвигателя — 5.5 кВт;
	• привод — ременной;
	• охлаждение — воздушное;
	• страна-производитель — Беларусь.
В магазине компании «PRO-Краскопульт» можно купить поршневой компрессор Remeza СБ4 Ф 270.LB75 на 380 Вольт с максимальным давлением 10 атм и с гарантией от официального дилера 12 мес.
За профессиональной консультацией обращайтесь по телефону. Консультанты интернет-магазина ждут вашего звонка.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-500-lt100;"Поршневой компрессор Remeza СБ4 Ф 500.LT100";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"7.5 кВТ";;;;;;;;;;"500 л";;;;;;;;;;"1400 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 500.LT100
арт.20388
СБ4 Ф 500.LT100 — электрический поршневой компрессор на 380 Вольт от зарекомендовавшего себя производителя Remeza. Вы можете оставить заказ на это устройство в нашем магазине на pro-kraskopult.ru по оптимальным ценам.
Модель обладает следующими основными параметрами:
	• тип двигателя – электродвигатель;
	• напряжение — 380 Вольт;
	• максимальное давление — 10 атмосфер;
	• мощность электродвигателя — 7.5 киловатт;
	• привод — ременной;
	• тип охлаждения — воздушное;
	• страна — Беларусь.
В интернет магазине «PRO-Краскопульт» можно приобрести воздушный поршневой электрический компрессор Remeza СБ4 Ф 500.LT100 на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией от официального дилера 12 мес.
За бесплатной консультацией обращайтесь по телефону. Специалисты компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-500-lt100-11-0;"Поршневой компрессор Remeza СБ4/Ф-500.LT100-11,0";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"11 кВт";;;;;;;;;;"500 л";;;;;;;;;;"1700 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4/Ф-500.LT100-11,0
арт.8087450
СБ4 Ф 500.LT100-11,0 — электрический поршневой компрессор на 380 Вольт от зарекомендовавшего себя производителя Remeza. Вы можете оставить заказ на это устройство в нашем магазине на pro-kraskopult.ru по оптимальным ценам.
Модель обладает следующими основными параметрами:
	• тип двигателя – электродвигатель;
	• напряжение — 380 Вольт;
	• максимальное давление — 10 атмосфер;
	• мощность электродвигателя — 7.5 киловатт;
	• привод — ременной;
	• тип охлаждения — воздушное;
	• страна — Беларусь.
В интернет магазине «PRO-Краскопульт» можно приобрести воздушный поршневой электрический компрессор Remeza СБ4 Ф 500.LT100-11,0 на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией от официального дилера 12 мес.
За бесплатной консультацией обращайтесь по телефону. Специалисты компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f500-lt100-16-7;"Поршневой компрессор Remeza СБ4/Ф500.LT100/16-7";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"16 атм";;;;;;;;;;;;;;;;"7.5 кВТ";;;;;;;;;;"500 л";;;;;;;;;;"1000 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4/Ф500.LT100/16-7
арт.8096200
СБ4 Ф 500.LT100/16-7 — электрический поршневой компрессор на 380 Вольт от зарекомендовавшего себя производителя Remeza. Вы можете оставить заказ на это устройство в нашем магазине на pro-kraskopult.ru по оптимальным ценам.
Модель обладает следующими основными параметрами:
	• тип двигателя – электрический;
	• напряжение — 380 Вольт;
	• давление — 16 атм;
	• мощность электрического двигателя — 7.5 кВт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
В интернет магазине «PRO-Краскопульт» можно приобрести воздушный поршневой электрический компрессор Remeza СБ4 Ф 500.LT100/16-7 на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией от официального дилера 12 мес.
За бесплатной консультацией обращайтесь по телефону. Специалисты компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-500-lb75-tb;"Поршневой компрессор Remeza СБ4 Ф 500.LB75 ТБ";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"5.5 + 5.5 кВт";;;;;;;;;;"500 л";;;;;;;;;;"1900 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 500.LB75 ТБ
арт.38882
СБ4 Ф 500.LB75 ТБ — поршневой электрокомпрессор на 380 В от зарекомендовавшего себя производителя Remeza. Вы можете оставить заказ на данное устройство на сайте pro-kraskopult.ru по разумным ценам.
Модель обладает следующими важными параметрами:
	• двигатель – электродвигатель;
	• напряжение — 380 В;
	• максимальное давление — 10 атм;
	• мощность двигателя — 5.5+5.5 киловатт;
	• привод — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
В магазине компании «ЭнергоПроф» можно купить воздушный поршневой компрессор Remeza СБ4 Ф 500.LB75 ТБ на 380 В с максимальным давлением 10 атм и с гарантией от официального дилера 12 мес.
За помощью с выбором обращайтесь по телефону. Консультанты интернет-магазина ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-500-lt100d;"Поршневой компрессор Remeza СБ4 Ф 500.LT100Д";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"7.5 кВТ";;;;;;;;;;"500 л";;;;;;;;;;"1400 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 500.LT100Д
арт.7065490
СБ4 Ф 500.LT100Д — поршневой воздушный электрокомпрессор на 380 В от надежного бренда Remeza. Вы можете купить это устройство на сайте pro-kraskopult.ru по привлекательным ценам.
Модель обладает следующими важными характеристиками:
	• двигатель – электродвигатель;
	• напряжение — 380 В;
	• максимальное давление — 10 атм;
	• мощность электродвигателя — 7.5 киловатт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
На сайте PRO-Краскопульт можно заказать поршневой воздушный электрический компрессор Remeza СБ4 Ф 500.LT100Д на 380 В с максимальным давлением 10 атм и с официальной гарантией 12 месяцев.
За профессиональной консультацией звоните по телефону. Специалисты интернет-магазина PRO-Краскопульт ждут вашей заявки.
"
Компрессоры;"Винтовые компрессоры";;https://pro-kraskopult.ru/vintovye-kompressory/vintovoj-kompressor-remeza-vk5t-15;"Винтовой компрессор Remeza ВК5Т-15";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"15 атм";;;;;;;;;;;;;;;;"4 кВт";;;;;;;;;;;;;;;;;;;;"270 л/мин";;;;;;;;;;;;"68 дБ";;;;;;"Винтовой компрессор Remeza ВК5Т-15
Воздушный винтовой электрокомпрессор Remeza ВК5Т-15 используется для постоянного обеспечения сжатым воздухом небольших и больших предприятий, так же может применяться в химической промышленности, пищевой области.
Модели такого типа отличаются:
	• повышенной работоспособностью;
	• экономичностью;
	• низким уровнем загрязнений в воздухе;
	• малошумностью;
	• высокой производительностью — 270 л в мин;
	• сравнительно небольшими габаритами — 890x680x1025.
Интернет-магазин PRO-Краскопульт официальный представитель крупных производителей винтовых воздушных электрических компрессоров. Покупайте на страницах сайта pro-kraskopult.ru ВК5Т-15 с оперативной доставкой по России.
"
