"Крошка 1";"Крошка 2";"Крошка 3";"Крошка 4";"Крошка 5";"Крошка 6";Ссылка;Название;Цена;"Ед. изм.";"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";"Изображение 7";"Изображение 8";"Изображение 9";"Изображение 10";"Изображение 11";"Изображение 12";"Изображение 13";"Изображение 14";;Габариты;"код товара";отзывы;производитель;Описание
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-papa-bystrosemnyj-elochka-d-8-mm-nordberg-nkm08-nkm08-ru.html;"Разъём композитный ""папа"" быстросъемный - елочка d 8 мм NORDBERG NKM08";260.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM08-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM08-1-700x700.png;;;;;;;;;;;;;;-x-x-;NKM08;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
NORDBERG
,
NKM08
"
Бренды;SMIRDEX;"Круги SMIRDEX 740 Ceramic Velcro Discs, D=150, 15 отверстий";;;;https://krasimpravilno.ru/brendy/smirdex-1/740-abrazivnye-krugi-smirdex-ceramic-velcro-discs-d150-15-otverstij/bimast-bomb-drive-mini-1.html;"SMIRDEX Прокладка-проставка на липучке 150мм , с 15 отверстиями";540.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/SMIRDEX/f1839f4a3aece5caf15ba82c48898d31-700x700.jpg;;;;;;;;;;;;;;;-x-x-;R150-15;;SMIRDEX;"SMIRDEX Прокладка-проставка на липучке 150мм , с 15 отверстиями
Теги:
SMIRDEX
,
Прокладка
,
проставка
,
на липучке 150мм
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-mama-bystrosemnyj-rezba-f12-nordberg-nkf34-nkf34-ru.html;"Разъем композитный ""мама"" быстросъемный - резьба F1/2"" NORDBERG NKF34";837.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF34-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF34.DSCF6237-700x700.jpg;;;;;;;;;;;;;;-x-x-;NKF34;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
резьба M1/4""
,
NORDBERG
,
NKF34
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-papa-bystrosemnyj-elochka-d-8-mm-nordberg-nkm10-nkm10-ru.html;"Разъём композитный ""папа"" быстросъемный - елочка d 8 мм NORDBERG NKM10";290.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM10-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM10-1-700x700.png;;;;;;;;;;;;;;-x-x-;NKM10;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
NORDBERG
,
NKM10
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-mama-bystrosemnyj-rezba-m12-nordberg-nkf24-nkf24-ru.html;"Разъем композитный ""мама"" быстросъемный - резьба M1/2"" NORDBERG NKF24";770.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF24-2-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF24-1-700x700.jpg;;;;;;;;;;;;;;-x-x-;NKF24;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
резьба M1/4""
,
NORDBERG
,
NKF24
"
Бренды;Varis;;;;;https://krasimpravilno.ru/brendy/varis-1/polirovalnaja-mashina-varis-roteks-180-1400-vt-s-funkciej-plavnogo-puska-roteks-180-ru.html;"Полировальная машина VARIS ROTEKS 180, 1400 Вт с функцией плавного пуска.";11900.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/2f7f9jf4_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/39lup0pc_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/88f31kvc_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/ae4sorw5_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/bz91cx5j_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/kpcxebwg_обработано-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Varis/SVETA/ROTEKS%20180/ugnv8sjo_обработано-700x700.jpg;;;;;;;;;-x-x-;"ROTEKS 180";;Varis;"Мощность 1400 Вт, конструкция на шарикоподшипниках для длительного срока службы


• Постоянная скорость


• Мягкий старт


• Металлический сетчатый фильтр


• термообработанные, прецизионные шестерни для плавной работы


– Полировальная машина VARIS ROTEKS 180 имеет регулируемую скорость от 600 до 3500 об. / мин. и использует мотор мощностью 1400 Вт, выполненный из чистой меди, а также имеет литую под давлением алюминиевую головку. Корпус ротационной полировальной машины изготовлен из прочного противоударного АБС-пластика, а ее двигатель имеет термообработанные прецизионные шестерни. Полировальная машина VARIS способна выдерживать тяжелую и продолжительную работу, благодаря своей прочности и долговечности.


– ROTEKS 180 обладает функцией регулировки скорости в диапазоне от 600 до 3500 оборотов в минуту. Эта функция использует технологию постоянной мощности, обеспечивающую постоянную скорость в работе. Вы можете легко контролировать скорость в зависимости от интенсивности работы по полировке или глубины, на которую нужно внедрить полировальные материалы в станок.


– Переключатель блокировки обеспечивает стабильное использование. Для обеспечения безопасности добавлена функция мягкого пуска, которая позволяет полировщику или буферу работать быстро, но без резких стартов. Автомобильные буферы и полировщики плавно увеличивают скорость до нужной опции, выбранной на быстрой настройке. Индикатор угольной щетки оповестит вас о необходимости замены щетки.


– Эта полировальная машина для автомобилей оснащена новой эргономичной передней ручкой в форме ""D"" и прямыми боковыми ручками, что позволяет находить оптимальные углы для работы. Ручка обернута силиконовым материалом, который уменьшает вибрацию и обеспечивает более плавную работу. Опорная пластина диаметром 180 мм покрыта мягким полиуретановым материалом, что сделает процесс полировки более равномерным.


– Машина может использоваться для полировки большинства поверхностей. Она предназначена для полировки автомобилей, шлифовки, восстановления глазури, полировки бытовой техники и мебели, а также для придания блеска стеклу. Можно использовать с глазурями, герметиками и воском. Она эффективно удаляет глубокие царапины, завихрения и окисление краски.


Характеристики:


• Бренд: VARIS


• Модель: ROTEKS 180


• Номинальное напряжение: 220-240 В / 120 В


• Частота: 50/60 Гц


• Входная мощность: 1400 Вт


• Скорость без нагрузки: 600-3500 об / мин


• Матрица дика (колеса): 180 мм (7 дюймов)
Комплектация
• Вспомогательная ручка — 1 шт.
• Болт крепления ручки — 2 шт.
• Шестигранный ключ —- 1 шт.
• Шлифовальная подушка —- 1 шт.
• Шерстяной чепчик — 1 шт.
• Губчатая подушка — 1 шт.
Теги:
Полировальная машина
,
VARIS
,
ROTEKS 180
,
полировальная машинка с функцией плавного пуска.
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-mama-bystrosemnyj-elochka-d-10-mm-nordberg-nkf10-nkf10-ru.html;"Разъем композитный ""мама"" быстросъемный - елочка d 10 мм NORDBERG NKF10";827.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF10-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF10-1-700x700.png;;;;;;;;;;;;;;-x-x-;NKF10;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
резьба M1/4""
,
NORDBERG
,
NKF10
"
Бренды;"Русский Мастер";;;;;https://krasimpravilno.ru/brendy/russkij-master-1/russkiy-master-shlang-4m-modulnyy-s-pnevmoliniey-dlya-1630ep.html;"Русский мастер шланг 4м модульный с пневмолинией для 1630EP";2400.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/Русский%20мастер/РМ-97852-71P)-700x700.jpg;;;;;;;;;;;;;;;-x-x-;РМ-97852-71P;;"Русский мастер";"Шланг для пылесоса Русский Мастер (4м) комбинированный 2в1 для пневмоинструмента
Теги:
Русский мастер
,
пылесос
,
1630EP
,
шланг 4м
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-papa-bystrosemnyj-rezba-f14-nordberg-nkm32-nkm32-ru.html;"Разъём композитный ""папа"" быстросъемный - резьба F1/4"" NORDBERG NKM32";190.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM32-2-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKM32-1-700x700.png;;;;;;;;;;;;;;-x-x-;NKM32;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
резьба 1/4""
,
NORDBERG
,
NKM32
"
Бренды;NORDBERG;"Разъёмы и фитинги Nordberg";;;;https://krasimpravilno.ru/brendy/nordberg-1/razemy-i-fitingi-nordberg-ru/razem-kompozitnyj-mama-bystrosemnyj-rezba-m14-nordberg-nkf22-nkf22-ru.html;"Разъем композитный ""мама"" быстросъемный - резьба M1/4"" NORDBERG NKF22";770.00;Руб/шт;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF23-2-700x700.jpg;https://krasimpravilno.ruhttps://krasimpravilno.ru/image/cache/catalog/tovari/NORDBERG/Разъёмы/NKF23-1-700x700.jpg;;;;;;;;;;;;;;-x-x-;NKF22;;NORDBERG;"Макс. давление 13 бар.

Рабочее давление 6,5 бар

Не повреждает покрытие автомобиля

Легче, чем металлические аналоги

Не подвержен коррозии

Подходит для автомоек
Теги:
Разъём
,
композитный
,
""папа""
,
быстросъемный
,
резьба M1/4""
,
NORDBERG
,
NKF22
"
